Legacy material type code (from item record)	Folio material type name or ID
Audio	sound recording
Book	book
Classed Serial	serial
Compact Disk	sound recording
Manuscript	text
Microfilm	microform
Model	unspecified
Object/Realia	unspecified
Periodical	serial
Statistical code	unspecified
Video 1/2"	unspecified
