Millennium Vendor CODE	Millennium Vendor Name	Id	Name	Code	Description	Export to accounting	Status	Language	Aliases	Addresses	Phone numbers	Emails	Urls	Contacts	Agreements	Erp code	Payment method	Access provider	Governmental	Licensor	Material supplier	Vendor currencies	Claiming interval	Discount percent	Expected activation interval	Expected invoice interval	Renewal activation interval	Subscription interval	Expected receipt interval	Tax id	Liable for vat	Tax percentage	Edi	Interfaces	Accounts	Is vendor	San code	Changelogs	Acq unit ids	Tags
loup	Oxford University Press		Oxford University Press	l-oup		no	Active																													YES			Law	
lpli	Pratising Law Institute		Pratising Law Institute	l-pli		no	Active		PLI																											YES			Law	
lpqgi	ProQuest Government Information Services		ProQuest Government Information Services	l-pqgi	Includes Summon	no	Active		Clarivate																											YES			Law	
lproq	ProQuest Information and Learning		ProQuest Information and Learning	l-proquest	Includes Serials Solutions, Inc.	no	Active		Clarivate																											YES			Law	
lpur	Public Utilities Reports, Inc.		Public Utilities Reports, Inc.	l-pur		no	Active																													YES			Law	
lreed	Reed Elsevier		Reed Elsevier	l-elsevier		no	Active		Elsevier																											YES			Law	
lrmml	Foundation for Natural Resources and Energy Law (formerly RMMLF)		Foundation for Natural Resources and Energy Law (formerly RMMLF)	l-fnrel		no	Active		Rocky Mountain Mineral Law Foundation																											YES			Law	
lrow	Rowman & Littlefield		Rowman & Littlefield	l-rowman		no	Active																													YES			Law	
lsage	Sage		Sage	l-sage		no	Active																													YES			Law	
lspn	SpringerNature		Springer Nature	l-spnature		no	Active																																	
lshep	LexisNexis Matthew Bender (Shepards)		LexisNexis Matthew Bender (Shepards)	l-shep		no	Active																													YES			Law	
lt&f	Taylor & Francis		Taylor & Francis	l-t&f		no	Active																													YES			Law	
ltaxn	Tax Analysts		Tax Analysts	l-taxn		no	Active																													YES			Law	
ltodd	Todd Publishing		Todd Publishing	l-todd	Reference Encyclopedia of the American Indian	no	Active																													YES			Law	
ltrta	Thomson Reuters (Tax & Accounting)		Thomson Reuters (Tax & Accounting)	l-trta		no	Active		RIA																											YES			Law	
ltrw	Thomson Reuters West		Thomson Reuters West	l-trw	Use for Westlaw, ProView, West Serials	no	Active																													YES			Law	
lunp	United Nations Publications		United Nations Publications	l-unp		no	Active		UN Publications																											YES			Law	
lusne	U.S. News & World Report		U.S. News & World Report	l-usnwr		no	Active																													YES			Law	
lutor	University of Toronto Press		University of Toronto Press	l-utoronto		no	Active																													YES			Law	
																																								
lwap	West Academic Publishing		West Academic Publishing	l-wap	Inleudes West Academic Press	no	Active		LEG, Inc.; West Academic Press																											YES			Law	
lwest	West Group / Thomson-Reuters		West Group / Thomson-Reuters	l-west	LMA	no	Active		Westlaw																											YES			Law	
lwile	John Wiley & Sons		John Wiley & Sons	l-wiley		no	Active																													YES			Law	
lwils	H.W. Wilson		H.W. Wilson	l-wilson		no	Active																													YES			Law	
																																								
lwrc	World RadioCommunications Week		World RadioCommunications Week	l-wrc		no	Active																													YES			Law	
lybp	YBP -   GOBI		YBP -   GOBI	l-ybp		no	Active		Yankee Book Peddler																											YES			Law	
