Location Code	Location Name	MFHD Loc (Unsuppressed) 	Item Loc (Unsuppressed)	MFHD Loc (Suppressed)	Item Loc (Suppressed)	Item Save Loc (Unsuppressed)	Item Save Loc (Suppressed)	Unsuppressed	Suppressed	FOLIO Location Name	FOLIO Location Code	Library	FOLIO service point	Note
mncyb	Internet							Purge	Purge					
mndoc	Government Documents		2		2			Purge	Purge					
mnfch	Microfiche							Purge	Purge					
mnfl1	1st floor				1			Purge	Purge					
mnfl2	2nd floor							Purge	Purge					
mnfl3	3rd floor		1					Purge	Purge					
mnflm	Films & Videos							Purge	Purge					
mngcd	GovDocs CD-ROMs							Purge	Purge					
mngcn	Census material							Purge	Purge					
mngds	Gov Doc Storage							Purge	Purge					
mngmp	GovDocs Maps							Purge	Purge					
mngof	GovDocs Office							Purge	Purge					
mngso	Oversize GovDocs Stks							Purge	Purge					
mnill	Inter-Library Loan							Purge	Purge					
mnind	Indexes							Purge	Purge					
mnmed	Media Collection		2					Purge	Purge					
mnmfm	Microfilm							Purge	Purge					
mnnew	New Books Shelf							Purge	Purge					
mnofa	Acquisitions Office		4	1				Purge	Purge					
mnofi	ILL Office							Purge	Purge					
mnper	PERIODICALS.	5	1			6		Purge	Purge					
mnpjs	See Periodical Librarian							Purge	Purge					
mnref	Reference		3					Purge	Purge					
mnrfc	Curriculum Reference							Purge	Purge					
mnrfd	Reference Desk							Purge	Purge					
mnrso	2-hr/overnight reserve							Purge	Purge					
mnxxx	Restricted		3					Purge	Purge					
mp	Martin Papers - Archives Collection							Purge	Purge					
nv	Novak Archives - Archives							Purge	Purge					
pe	Journals							Purge	Purge					
pefch	Journals - Microfiche	10	1					Purge	Purge					
peflm	Journals - Microfilm	7	35					Purge	Purge					
peind	Indexes	1		2				Purge	Purge					
re	Reference		2		1			Purge	Purge					
rerfa	Reference - Atlas Case							Purge	Purge					
sh	WIlliam Rossi Collection -Archives							Purge	Purge					
time	Time Capsule							Purge	Purge					
tl	Center for Teaching and Learning		3			1		Purge	Purge					
zzzzz	Error							Purge	Purge					
	Totals	170912	252106	277	2542	685	228							
														
														
KEY	Locations added after mapping meeting													
														
														
2 letters = branch code in code in bib record														
5 letters = item location														
														
mn = main library														
ar = archives														
tl = teaching and learning collection														
ee = electronic														
me = media														
cc = curriculum collection														
gd = government documents 														
