Legacy service point code	Folio service point code	Folio label (optional -- need a code or name to connect with location) 
hcirc	llcircdesk	Law Library Circulation Desk
ucirc	ulhelpdesk	University Library Help Desk
uscrr	ulasc	Archives & Special Collections
