ID	Field =001	Aleph System ID (HRID)	Field =035 / OCLC	Title	Notes																																										
75	ocm50213594 	58636	50213594 	The Museum of Modern Art Film Library presents Part 1 of A cycle of 300 films tracing the history and development of the motion picture from 1895 to 1940 in the Museum auditorium, 11 West 53 Street, New York ...																																											
76	ocm77604257 	58909	77604257 	Illinois, Michigan, Minnesota, Wisconsin, Regional Exhibition for Designer-Craftsmen, U.S.A.																																											
77	ocn175307469 	58914	175307469 	Exhibition for Michigan artist-craftsmen / the Detroit Institute of Arts.																																				Wyatt. Jump	to	Record	#:	80			
78	ocn175306105 	58942	175306105 	Annual Wisconsin designer-craftsmen exhibition.																																											
79	ocm06004662 	59059	06004662 	Deutsche Volkskunst / hrsg. von Reichskunstwart Edwin Redslob.																																				82							
80	ocm21731489 	63521	21731489 	Examples of metal-work & jewellery : selected from the Royal and other collections / edited by J.B. Waring ; chromo-lithographed by F. Bedford ; drawings on wood by R.C. Dudley ; with an essay by M. Digby Wyatt.																																											
81	ocm14751955 	67113	14751955 	The fifteenth century; the cradle of modern book illustration. by Frank Weitenkampf.																																											
82	ocm03434245 	70343	03434245 	Charles Burchfield: recent paintings; an exhibition at the Upton Hall Gallery, April 24-May 19, 1963, State University College at Buffalo, New York. Early watercolors; an exhibition at the Albright-Knox Art Gallery, Buffalo, New York.																																											
83	ocm32944790 	72119	32944790 	Catherine Paris : Avec trente pointe-sèches de Ceria / Princesse Bibesco.																																											
84	ocm80428360 	73925	80428360 	Jacob Eichholz [i.e. Eichholtz], 1776-1842, Pennsylvania painter : a retrospective exhibition : Pennsylvania Academy of the Fine Arts, November 13-December 14, 1969.																																											
85	ocm51097952 	89463	51097952 	The Farnese Gallery, Museum of Capodimonte. The European schools : Museum of Capodimonte / edited by Nicola Spinosa ; [text by Umberto Bile ; captions by Maia Confalone ; translation, Selfin, spa].																																											
86	ocn217385384 	89821	217385384 	Gemalte Gläser : und weitere Motive der Stillebenkunst : ausgewählte Werke aus den Beständen der Gemäldegalerie und des Glasmuseums Hentrich des Kunstmuseums Düsseldorf / [Ausstellung und Texte, Martina Sitt und Helmut Ricke].																																											
87	ocm40365152 	89833	40365152 	Glasgow : Kunsthalle Bern.																																											
88	ocm22863047 	89913	22863047 	Half-truths : Grenville Davey, Robert Gober, Erik Levine, Ann Messner, Joel Otterson, Jack Risley, Tony Tasset, Rosemarie Trockel : July 29-September 16, 1990 / curated by Marge Goldwater.																																											
89	ocn198131024 	90304	198131024 	Masters of the 19th and 20th centuries : [exhibition] summer 1972, Marlborough Fine Art (London) Ltd.																																											
90	ocm35818711 	90724	35818711 	Photography in modern Europe / Olivia Lahs-Gonzales.																																											
91	ocm45198150 	90869	45198150 	The public and the private in the age of Vermeer / Arthur K. Wheelock, Jr. ; with contributions by Michiel C. Plomp, Danielle H.A.C. Lokin, Quint Gregory.																																											
92	ocm50860481 	91448	50860481 	Turner y el mar : acuarelas de la Tate : Fundacion Juan March, 20 Septiembre 2002-19 Enero 2003.																																											
93	ocm00070262 	91961	00070262 	Lewis Carroll, photographer / by Helmut Gernsheim.																																											
94	ocm50698010 	92036	50698010 	Cranach / Hanne Kolind Poulen.																																											
95	ocm59823968 	92295	59823968 	Peter Hujar : night : [exhibition] Fraenkel Gallery, Matthew Marks Gallery / essay by Bob Nickas.																																											
96	ocm38258480 	92400	38258480 	The Fae Richards photo archive / Zoe Leonard, photographer ; Cheryl Dunye, filmmaker.																																											
97	ocm18960217 	93135	18960217 	The Architecture of Robert Venturi / essays by Vincent Scully ... [et al.] ; edited and with an introduction by Christopher Mead.																																											
98	ocm01185167 	111775	01185167 	Storia dell'arte.																																											
99	ocm05198329 	111826	05198329 	A Debreceni Deri Muzeum evkonyve.																																											
100	ocm05966296 	111847	05966296 	Art & auction.																																											
101	ocm03836381 	111871	03836381 	Du.																																											
102	ocm08351144 	111873	08351144 	Transactions / English Ceramic Circle.																																											
103	ocm01018405 	111876	01018405 	Faenza.																																											
104	ocm09227733 	111878	09227733 	Flash art.																																											
105	ocm05083241 	111882	05083241 	HALI; the international journal of Oriental carpets and textiles.																																											
106	ocm32672134 	111886	32672134 	Jaarboek / Koninklijk Museum voor Schone Kunsten.																																											
107	ocm11280892 	111898	11280892 	Kultur Chronik.																																											
108	ocm33602981 	111903	33602981 	Museum = Myuzeamu : Kokuritsu Hakubutsukan bijutsushi.																																											
109	ocm11481502 	111914	11481502 	Bulletin / the Art Alliance, Rittenhouse Square, Philadelphia.																																											
110	ocm06979808 	111919	06979808 	Jahresbericht - Schweizerisches Institut fur Kunstwissenschaft.																																											
111	ocm07374030 	111926	07374030 	The ... Volume of the Walpole Society.																																											
112	ocm06374044 	111927	06374044 	The art-journal.																																											
113	ocm01761030 	111950	01761030 	L'oeil.																																											
114	ocn192415423 	111955	192415423 	Rassegna d'arte.																																											
115	ocm01569388 	111962	01569388 	Mitteilungen des Kunsthistorischen Institutes in Florenz.																																											
116	ocm49763160 	111975	49763160 	Afterall.	001 in Aleph is correct																																										
117	ocm57667705 	111981	57667705 	Arms & armour : journal of the Royal Armouries.																																											
118	ocm38689331 	111985	38689331 	The Asian art newspaper.																																											
119	ocm26069383 	111988	26069383 	CeramicAntica.																																											
120	ocm56571008 	111991	56571008 	DecArt.																																											
121	ocm62761694 	112033	62761694 	Impressionist camera : pictorial photography in Europe, 1888-1918 / edited by Patrick Daum and Francis Ribemont ; English edition edited by Philip Prodger.																																											
122	ocm68767727 	112045	68767727 	Modernism : designing a new world, 1914-1939 / edited by Christopher Wilk.																																											
123	ocn230707192 	112060	230707192 	Regional furniture.																																											
124	NYMA01-S435 	112062	17404748	RSA journal.																																											
125	ocm60454873 	112072	60454873 	Arranging & describing archives & manuscripts / Kathleen D. Roe.																																											
126	ocm30121303 	112076	30121303 	Nka : journal of contemporary African art.																																				al.]. Jump	to	Record	#:	129			
127	ocm70787242 	112096	70787242 	Poetry in design : the art of Harry Leith-Ross / Erika Jaeger-Smith ; [foreword by Bruce Katsiff ; afterword by Joseph B. Mow].																																											
128	ocm55769472 	112103	55769472 	Tate etc.																																											
129	ocm64230465 	112115	64230465 	Baroque luxury porcelain : the manufactories of Du Paquier in Vienna and of Carlo Ginori in Florence / edited by Johann Kraftner ; editing, Claudia Lehner-Jobst and Andreina d'Agliano ; with contributions by Kirsten Aschengreen-Piacenti ... [et al.].																																				C.	Wicks,	principal	essayists. Jump	to	Record	#:	132
