Location Code	Location Name	Location Display	MFHD Perm Loc (Unsuppressed)	Item Perm Loc (Unsuppressed)	Item Temp Loc (Unsuppressed)	MFHD Perm Loc (Suppressed)	Item Perm Loc (Suppressed)	Item Temp Loc (Suppressed)	Unsuppressed	Suppressed	FOLIO Code	FOLIO Name	FOLIO Display
child-hist	child-historical	Children's Room Display Cabinet (See Children's Librarian)	1	1	8	0	0	0	Purge	Purge	Cancel locaton 		
child-libn	child-libn	Children's Librarian Reference	0	0	0	1	0	0	Purge	Purge	Cancel location 		
child-ref	child-ref	Children's Reference	0	0	2	18	0	0	Purge	Purge	Cancel location 		
Circ	Circulation Dept.	circulation	0	0	1	3	0	0	Purge	Purge	Cancel location 		
diredoff	Director of Ed. Office	Director of Education Office	0	0	2	0	0	0	Purge	Purge			
electronic	electronic resource	Online	276	276	0	0	0	0	Purge	Purge	Cancel location		
exhibit	exhibition	In Exhibition: Framing Freedom: The Harriet Hayden Albums	0	1	0	0	0	0	Purge	Purge	Cancel location		
loan	Exhibition (Loan)		0	0	0	0	0	0	Purge	Purge	Cancel location		
media	media	Media - Please Consult Reference Librarian	0	0	0	4	0	0	Purge	Purge	Cancel location 		
nedl	nedl	New England Deposit Library	0	0	18	0	0	0	Purge	Purge	Cancel location 		
Personal	Personal		0	0	0	62	0	0	Purge	Purge	Cancel location 		
pr-storage	Storage-Print Room	Storage-Print Room	4	1	1	0	0	0	Purge	Purge	Cancel location 		
rarefltmap	VSCR Flat Map	VSCR Flat Map (LC) (Appointment required)	3	0	0	0	0	0	Purge	Purge	Cancel Location 		
reading	reading room	Reading Room	0	0	0	0	0	0	Purge	Purge	Cancel Location 		
ref1	ref1	Ref 1 (12 Beacon Street)	0	0	2	0	0	0	Purge	Purge	Cancel Location 		
ref2	ref2	Art Reference	0	0	0	7	0	0	Purge	Purge	Cancel Location 		
ref2g	ref2g	Ref 2G	0	0	0	1	0	0	Purge	Purge	Cancel Location 		
ref4g	ref4g	Development Office	0	0	0	2	0	0	Purge	Purge	Cancel Location 		
refdir	refdir	Director's Office	0	0	0	1	0	0	Purge	Purge	Cancel Location 		
video	video	Video	0	0	0	1	0	0	Purge	Purge	Cancel Location 		
		Totals:	456,659	636,865	2,678	8,175	6,406	7					
